topic,cntry,year,attitude,dweight
atchctr,CY,2018,5,40.82732763886453
atchctr,CY,2018,6,35.256647020578406
atchctr,CY,2018,7,67.50726824998856
atchctr,CY,2018,8,112.62033191323282
atchctr,CY,2018,9,91.95266154408456
atchctr,CY,2018,10,393.7034398317339
atchctr,CY,2018,NA,0
atchctr,CZ,2002,0,0
atchctr,CZ,2002,1,0
atchctr,CZ,2002,2,0
atchctr,CZ,2002,3,0
atchctr,CZ,2002,4,0
atchctr,CZ,2002,5,0
atchctr,CZ,2002,6,0
atchctr,CZ,2002,7,0
atchctr,CZ,2002,8,0
atchctr,CZ,2002,9,0
atchctr,CZ,2002,10,0
atchctr,CZ,2002,NA,1359.9919
atchctr,CZ,2004,0,0
atchctr,CZ,2004,1,0
atchctr,CZ,2004,2,0
atchctr,CZ,2004,3,0
atchctr,CZ,2004,4,0
atchctr,CZ,2004,5,0
atchctr,CZ,2004,6,0
atchctr,CZ,2004,7,0
atchctr,CZ,2004,8,0
atchctr,CZ,2004,9,0
atchctr,CZ,2004,10,0
atchctr,CZ,2004,NA,3026.019
atchctr,CZ,2006,0,0
atchctr,CZ,2006,1,0
atchctr,CZ,2006,2,0
atchctr,CZ,2006,3,0
atchctr,CZ,2006,4,0
atchctr,CZ,2006,5,0
atchctr,CZ,2006,6,0
atchctr,CZ,2006,7,0
atchctr,CZ,2006,8,0
atchctr,CZ,2006,9,0
atchctr,CZ,2006,10,0
atchctr,CZ,2006,NA,0
atchctr,CZ,2008,0,0
atchctr,CZ,2008,1,0
atchctr,CZ,2008,2,0
atchctr,CZ,2008,3,0
atchctr,CZ,2008,4,0
atchctr,CZ,2008,5,0
atchctr,CZ,2008,6,0
atchctr,CZ,2008,7,0
atchctr,CZ,2008,8,0
atchctr,CZ,2008,9,0
atchctr,CZ,2008,10,0
atchctr,CZ,2008,NA,2017.9925
atchctr,CZ,2010,0,0
atchctr,CZ,2010,1,0
atchctr,CZ,2010,2,0
atchctr,CZ,2010,3,0
atchctr,CZ,2010,4,0
atchctr,CZ,2010,5,0
atchctr,CZ,2010,6,0
atchctr,CZ,2010,7,0
atchctr,CZ,2010,8,0
atchctr,CZ,2010,9,0
atchctr,CZ,2010,10,0
atchctr,CZ,2010,NA,2386.0000000000005
atchctr,CZ,2012,0,0
atchctr,CZ,2012,1,0
atchctr,CZ,2012,2,0
atchctr,CZ,2012,3,0
atchctr,CZ,2012,4,0
atchctr,CZ,2012,5,0
atchctr,CZ,2012,6,0
atchctr,CZ,2012,7,0
atchctr,CZ,2012,8,0
atchctr,CZ,2012,9,0
atchctr,CZ,2012,10,0
atchctr,CZ,2012,NA,2008.9999999999998
atchctr,CZ,2014,0,0
atchctr,CZ,2014,1,0
atchctr,CZ,2014,2,0
atchctr,CZ,2014,3,0
atchctr,CZ,2014,4,0
atchctr,CZ,2014,5,0
atchctr,CZ,2014,6,0
atchctr,CZ,2014,7,0
atchctr,CZ,2014,8,0
atchctr,CZ,2014,9,0
atchctr,CZ,2014,10,0
atchctr,CZ,2014,NA,2148
atchctr,CZ,2016,0,9.574112565446823
atchctr,CZ,2016,1,5.385836952671156
atchctr,CZ,2016,2,30.996980683710376
atchctr,CZ,2016,3,48.279456478332044
atchctr,CZ,2016,4,63.6039278888525
atchctr,CZ,2016,5,152.12007359748063
atchctr,CZ,2016,6,200.55329221297842
atchctr,CZ,2016,7,380.2778742011371
atchctr,CZ,2016,8,401.97035501957794
atchctr,CZ,2016,9,455.4651079670502
atchctr,CZ,2016,10,516.5642597182938
atchctr,CZ,2016,NA,4.208980960685574
atchctr,CZ,2018,0,16.66242006421092
atchctr,CZ,2018,1,6.942674934864045
atchctr,CZ,2018,2,18.976645082235365
atchctr,CZ,2018,3,36.5647551119328
atchctr,CZ,2018,4,53.2271749377251
atchctr,CZ,2018,5,166.6242001354696
atchctr,CZ,2018,6,195.32058990001696
atchctr,CZ,2018,7,415.634810239077
atchctr,CZ,2018,8,523.0148498713975
atchctr,CZ,2018,9,420.7261046767238
atchctr,CZ,2018,10,532.7345946729188
atchctr,CZ,2018,NA,11.571124941110615
atchctr,DE,2002,0,0
atchctr,DE,2002,1,0
atchctr,DE,2002,2,0
atchctr,DE,2002,3,0
atchctr,DE,2002,4,0
atchctr,DE,2002,5,0
atchctr,DE,2002,6,0
atchctr,DE,2002,7,0
atchctr,DE,2002,8,0
atchctr,DE,2002,9,0
atchctr,DE,2002,10,0
atchctr,DE,2002,NA,2919.0468000000005
atchctr,DE,2004,0,0
atchctr,DE,2004,1,0
atchctr,DE,2004,2,0
atchctr,DE,2004,3,0
atchctr,DE,2004,4,0
atchctr,DE,2004,5,0
atchctr,DE,2004,6,0
atchctr,DE,2004,7,0
atchctr,DE,2004,8,0
atchctr,DE,2004,9,0
atchctr,DE,2004,10,0
atchctr,DE,2004,NA,2869.9633
atchctr,DE,2006,0,0
atchctr,DE,2006,1,0
atchctr,DE,2006,2,0
atchctr,DE,2006,3,0
atchctr,DE,2006,4,0
atchctr,DE,2006,5,0
atchctr,DE,2006,6,0
